Timestamp,Available,,User._avg (%),Idle._avg (%)
1633416600,83.69,,7.335,91.025
1633416900,84.43,,6.985,91.415
1633417200,84.69,,6.84,91.53
1633417500,85.74,,6.355,92.095
1633417800,83.98,,7.22,91.2
1633418100,85.8,,6.345,92.145
1633418400,84.03,,7.19,91.22
1633418700,84.085,,7.165,91.25
1633419000,84.08,,7.18,91.26
1633419300,86.42,,6.035,92.455
1633419600,85.79,,6.335,92.125
1633419900,86.26,,6.13,92.39
1633420200,83.9,,7.24,91.14
1633420500,83.845,,7.265,91.11
1633420800,84.99,,6.725,91.715
1633421100,86.12,,6.175,92.295
1633421400,83.53,,7.45,90.98
1633421700,85.84,,6.315,92.155
1633422000,82.87,,7.59,90.46
1633422300,81.835,,8.03,89.865
1633422600,83.445,,7.435,90.88
1633422900,85.61,,6.385,91.995
1633423200,85.175,,6.63,91.805
1633423500,86.46,,6.025,92.485
1633423800,83.765,,7.3,91.065
1633424100,84.75,,6.755,91.505
1633424400,84.56,,6.88,91.44
1633424700,86.085,,6.18,92.265
1633425000,83.75,,7.335,91.085
1633425300,86.44,,6.035,92.475
1633425600,83.765,,7.32,91.085
1633425900,84.745,,6.845,91.59
1633426200,83.445,,7.485,90.93
1633426500,86.31,,6.085,92.395
1633426800,85.71,,6.365,92.075
1633427100,85.985,,6.14,92.125
1633427400,84.325,,7.05,91.375
1633427700,83.17,,7.525,90.695
1633428000,84.945,,6.735,91.68
1633428300,85.7,,6.37,92.07
1633428600,79.895,,9.2,89.095
1633428900,83.225,,7.54,90.765
1633429200,82.36,,8.005,90.365
1633429500,81.51,,8.345,89.855
1633429800,84.69,,6.875,91.565
1633430100,85.115,,6.635,91.75
1633430400,86,,6.255,92.255
1633430700,84.23,,7.065,91.295
1633431000,84.715,,6.875,91.59
1633431300,83.45,,7.445,90.895
1633431600,83.82,,7.265,91.085
1633431900,84.835,,6.775,91.61
1633432200,84.675,,6.91,91.585
1633432500,85.015,,6.68,91.695
1633432800,84.4,,7.03,91.43
1633433100,83.315,,7.52,90.835
1633433400,83.35,,7.505,90.855
1633433700,85.24,,6.575,91.815
1633434000,85.83,,6.325,92.155
1633434300,84.88,,6.775,91.655
1633434600,84.4,,7,91.4
1633434900,84.065,,7.155,91.22
1633435200,84.92,,6.755,91.675
1633435500,85.325,,6.55,91.875
1633435800,81.875,,8.25,90.125
1633436100,85.545,,6.45,91.995
